,AN,G,P,AM,EN,R,IE,MP,BP,D,SAN,SAM,SEN,SR,SIE,SMP,SBP,SD,H,CBM,VBM,ECOH,WF
Hg_O,80,12,6,200.59,2,1.71,10.438,234.32,629.88,13.5336,8,15.999,3.44,0.48,13.618,54.36,90.2,0.001429,6.97261,-3.7131,-1.925,5.362014257,4.617
Sc_S,21,3,4,44.95591,1.36,1.84,6.561,1814,3109,2.99,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
V_S,23,5,4,50.9415,1.63,1.71,6.746,2183,3680,6,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Cr_S,24,6,4,51.996,1.66,1.66,6.767,2180,2944,7.15,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Mn_S,25,7,4,54.93804,1.55,1.61,7.434,1519,2334,7.3,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Fe_S,26,8,4,55.84,1.83,1.56,7.902,1811,3134,7.874,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Co_S,27,9,4,58.93319,1.88,1.52,7.881,1768,3200,8.86,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Ni_S,28,10,4,58.693,1.91,1.49,7.64,1728,3186,8.912,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Cu_S,29,11,4,63.55,1.9,1.45,7.726,1357.77,2835,8.933,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Zn_S,30,12,4,65.4,1.65,1.42,9.394,692.68,1180,7.134,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Y_S,39,3,5,88.90584,1.22,2.12,6.217,1795,3618,4.47,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Zr_S,40,4,5,91.22,1.33,2.06,6.634,2128,4682,6.52,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Nb_S,41,5,5,92.90637,1.6,1.98,6.759,2750,5017,8.57,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Mo_S,42,6,5,95.95,2.16,1.9,7.092,2896,4912,10.2,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Tc_S,43,7,5,96.90636,1.9,1.83,7.28,2430,4538,11,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Ru_S,44,8,5,101.1,2.2,1.78,7.361,2607,4423,12.1,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Rh_S,45,9,5,102.9055,2.28,1.73,7.459,2237,3968,12.4,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Pd_S,46,10,5,106.42,2.2,1.69,8.337,1828.05,3236,12,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Ag_S,47,11,5,107.868,1.93,1.65,7.576,1234.93,2435,10.501,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Cd_S,48,12,5,112.41,1.69,1.61,8.994,594.22,1040,8.69,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Lu_S,71,3,6,174.9668,1.27,2.17,5.426,1936,3675,9.84,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Hf_S,72,4,6,178.49,1.3,2.08,6.825,2506,4876,13.3,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Ta_S,73,5,6,180.9479,1.5,0,7.89,3290,5731,16.4,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
W_S,74,6,6,183.84,2.36,1.93,7.98,3695,5828,19.3,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Re_S,75,7,6,186.207,1.9,1.88,7.88,3459,5869,20.8,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Os_S,76,8,6,190.2,2.2,1.85,8.7,3306,5285,22.57,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Ir_S,77,9,6,192.22,2.2,1.8,9.1,2719,4701,22.42,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Pt_S,78,10,6,195.08,2.28,1.77,9,2041.55,4098,21.46,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Au_S,79,11,6,196.96657,2.54,1.74,9.226,1337.33,3129,19.282,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Hg_S,80,12,6,200.59,2,1.71,10.438,234.32,629.88,13.5336,16,32.07,2.58,0.88,10.36,388.36,717.75,2.067,8.05883,-2.7233,-1.292,4.646608557,6.1505
Sc_CL,21,3,4,44.95591,1.36,1.84,6.561,1814,3109,2.99,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
V_CL,23,5,4,50.9415,1.63,1.71,6.746,2183,3680,6,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Cr_CL,24,6,4,51.996,1.66,1.66,6.767,2180,2944,7.15,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Mn_CL,25,7,4,54.93804,1.55,1.61,7.434,1519,2334,7.3,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Fe_CL,26,8,4,55.84,1.83,1.56,7.902,1811,3134,7.874,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Co_CL,27,9,4,58.93319,1.88,1.52,7.881,1768,3200,8.86,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Ni_CL,28,10,4,58.693,1.91,1.49,7.64,1728,3186,8.912,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Cu_CL,29,11,4,63.55,1.9,1.45,7.726,1357.77,2835,8.933,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Zn_CL,30,12,4,65.4,1.65,1.42,9.394,692.68,1180,7.134,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Y_CL,39,3,5,88.90584,1.22,2.12,6.217,1795,3618,4.47,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Zr_CL,40,4,5,91.22,1.33,2.06,6.634,2128,4682,6.52,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Nb_CL,41,5,5,92.90637,1.6,1.98,6.759,2750,5017,8.57,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Mo_CL,42,6,5,95.95,2.16,1.9,7.092,2896,4912,10.2,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Tc_CL,43,7,5,96.90636,1.9,1.83,7.28,2430,4538,11,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Ru_CL,44,8,5,101.1,2.2,1.78,7.361,2607,4423,12.1,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Rh_CL,45,9,5,102.9055,2.28,1.73,7.459,2237,3968,12.4,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Pd_CL,46,10,5,106.42,2.2,1.69,8.337,1828.05,3236,12,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Ag_CL,47,11,5,107.868,1.93,1.65,7.576,1234.93,2435,10.501,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Cd_CL,48,12,5,112.41,1.69,1.61,8.994,594.22,1040,8.69,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Lu_CL,71,3,6,174.9668,1.27,2.17,5.426,1936,3675,9.84,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Hf_CL,72,4,6,178.49,1.3,2.08,6.825,2506,4876,13.3,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
